article_id,true_label,content_verdict,network_verdict,predicted_final_label,predicted_label,confidence,latency_seconds
46541,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.151791095733643
9546,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.295984745025635
68053,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.3226141929626465
17228,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.477022171020508
815,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.988563060760498
55746,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.44976282119751
21779,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.683915138244629
52597,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.117774963378906
40207,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.473363161087036
47561,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.197079181671143
66622,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.785473108291626
16406,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.0383641719818115
51568,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.299632787704468
17961,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.937366724014282
12780,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.4534080028533936
32871,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.886545896530151
2199,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.430386066436768
44988,1,NOT ENOUGH INFO,SKIPPED,LIKELY MISINFORMATION,1,medium,14.85692572593689
18873,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.757590055465698
68870,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.042666912078857
11528,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.010570049285889
27066,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.482111930847168
55191,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.837928056716919
24632,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,13.565446853637695
6131,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.606719970703125
10329,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.014143943786621
55448,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.219774961471558
55937,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.6070427894592285
20811,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,12.59179425239563
41642,1,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,20.634253978729248
42025,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.8876729011535645
56304,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,9.827570915222168
23174,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.298697233200073
49262,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,13.413819074630737
19935,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,8.44966197013855
47170,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.449973106384277
21714,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,13.722563982009888
39140,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.0643150806427
53893,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.475672960281372
23012,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.835147857666016
42237,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.99323582649231
9725,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,5.782188177108765
66224,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,9.472859144210815
18844,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,8.246674060821533
31329,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,9.519033193588257
14181,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.857149124145508
31663,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,13.876600980758667
9065,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.871090888977051
49443,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,7.107573986053467
11088,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,13.371096849441528
30803,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,12.985650777816772
15510,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,6.558295011520386
54771,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,13.339672803878784
66366,0,NOT ENOUGH INFO,SKIPPED,INCONCLUSIVE,0,low,9.638659954071045
